title,url,outlet,outlet_url,date,embed
"Data Journalism Top 10: Misrepresenting Women, Bubble Tea, and IndiaÕs Nightingale",https://gijn.org/2022/02/11/data-journalism-top-10-women-making-headlines-vaccine-gaps-india-singer-history/,Global Investigative Journalism Network (GIJN),https://gijn.org/,2/1/22,FALSE
Gen.T: Data Science and Urban Development With Leonardo Nicoletti #21,https://gent.firstory.io/episodes/ckunrzkseft5r08385d6o0rja,Gen.T: A Spotlight For Bright Young People,https://gent.firstory.io/,10/1/21,FALSE
How to bring about affordable housing and the inclusive city?,https://us2.campaign-archive.com/?id=3af0a4f38d&u=6df3797d47b4462d9bec9ca11,International Federation for Housing and Planning (IFHP),https://www.ifhp.org/,8/1/20,FALSE
Cities like Vancouver need to do more to protect their trees,https://www.theglobeandmail.com/canada/british-columbia/article-cities-like-vancouver-need-to-do-more-to-protect-their-trees/,The Globe and Mail,https://www.theglobeandmail.com/,10/1/19,FALSE
"High-density neighbourhoods leave room for trees, says Metro Vancouver",https://www.cbc.ca/news/canada/british-columbia/tree-canopy-metro-vancouver-dense-neighbourhoods-have-more-trees-1.5291636,Canadian Broadcasting Corporation (CBC),https://www.cbc.ca/,9/1/19,FALSE
"Paving paradise: Low-density housing linked to tree loss, rise in impervious surfaces in Metro Vancouver",https://www.straight.com/news/1303071/paving-paradise-low-density-housing-linked-tree-loss-rise-impervious-surfaces-metro,The Georgia Straight,https://www.straight.com/,9/1/19,FALSE
Top Websites for Urban Planning - 2022,https://www.planetizen.com/features/120158-top-websites-urban-planning-2022?amp,Planetizen,https://www.planetizen.com/,12/1/22,FALSE
ÀEs Pamplona una ciudad de 15 minutos?,https://amp.diariodenavarra.es/noticias/navarra/pamplona-comarca/2022/12/04/pamplona-ciudad-15-minutos-545430-1002.html,,https://www.diariodenavarra.es/,12/1/22,FALSE
EditorÕs Pick: Top 10 Data Journalism Projects from 2022,https://gijn.org/2022/12/09/editors-pick-top-10-data-journalism-projects-from-2022/,Global Investigative Journalism Network (GIJN),https://gijn.org/,12/1/22,FALSE
How Fentanyl Brought on the Opioid Crisis's Deadliest Phase,https://www.youtube.com/watch?v=u3F928a9jdE,Bloomberg Quicktake,https://www.bloomberg.com/Quicktake,12/2/22,"<iframe width=""100%"" height=""200"" src=""https://www.youtube.com/embed/u3F928a9jdE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
