title,url,outlet,outlet_url,date,embed,cat
AI for Good Global Summit,https://www.youtube.com/live/oNP6W8bl0XI?t=35504s,AI for Good,https://aiforgood.itu.int/,5/1/24,"<iframe width=""100%"" height=""200"" src=""https://www.youtube.com/embed/oNP6W8bl0XI?si=ZjLobSb6O00qjlxe"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Business
"SILICON SHADOWS: VENTURE CAPITAL, HUMAN RIGHTS, AND THE LACK OF DUE DILIGENCE",https://www.amnestyusa.org/wp-content/uploads/2023/12/Amnesty-VCGenAi-Report-V5.pdf,Amnesty International,https://www.amnestyusa.org/,8/1/23,FALSE,NGO
Generative Artificial Intelligence in Finance: Risk Considerations,https://www.imf.org/-/media/Files/Publications/FTN063/2023/English/FTNEA2023006.ashx,International Monetary Fund (IMG),https://www.imf.org/en/Home,8/1/23,FALSE,Inter-governmental
Taxonomy of Human Rights Risks Connected to Generative AI,https://www.ohchr.org/sites/default/files/documents/issues/business/b-tech/taxonomy-GenAI-Human-Rights-Harms.pdf,United Nations Human Rights (UNHR),https://www.ohchr.org/en/ohchr_homepage,11/1/23,FALSE,Inter-governmental
Future Risks ofFrontier AI,https://assets.publishing.service.gov.uk/media/653bc393d10f3500139a6ac5/future-risks-of-frontier-ai-annex-a.pdf,United Kingdom Government Office for Science,https://www.gov.uk/government/publications/frontier-ai-capabilities-and-risks-discussion-paper,10/1/23,FALSE,Government
What Should City of Boston Mayor Wu Do About Generative AI?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4576667,SSRN,https://www.ssrn.com/index.cfm/en/,10/1/23,FALSE,research
How AI can help analyze women's representation in the news,https://ijnet.org/en/story/how-ai-can-help-analyze-womens-representation-news,International Journalists' Network,https://ijnet.org/en,11/1/22,FALSE,other
Coolest New Data Graphics to Not Miss Out On - DataViz Weekly,https://www.anychart.com/blog/2022/11/04/coolest-new-data-graphics/,AnyChart,https://www.anychart.com/,11/1/22,FALSE,design
"Data Journalism Top 10: Police Shootings, COVID Billionaires, Climate Budget Tetris, Halloween Blizzard",https://gijn.org/2022/10/28/data-journalism-top-10-police-shootings-covid-billionaires-climate-budget-tetris/,Global Investigative Journalism Network (GIJN),https://gijn.org/,11/1/22,FALSE,news
CITYACCESSMAP: Affrontare le Disugualianze Urbane con Dati Open Source,https://makerfairerome.eu/it/cityaccessmap-affrontare-le-disuguaglianze-con-dati-open-source/,Maker Faire Rome,https://makerfairerome.eu/it/,11/1/22,FALSE,news
ÀCuanto tiempo se hace caminando a una escuela o a un hospital en Puebla?,https://www.eluniversalpuebla.com.mx/estado/cuanto-tiempo-se-hace-caminando-una-escuela-o-un-hospital-en-puebla,El Universal Puebla,https://www.eluniversalpuebla.com.mx/,11/1/22,FALSE,news
Cordoba se sitœa muy por debajo de la media de ciudades con servicios a menos de 15 minutos a pie,https://www.cordobahoy.es/articulo/la-ciudad/cordoba-muy-debajo-media-ciudades-servicios-menos-15-minutos-pie/20221101201302125841.html,Cordobahoy,https://www.cordobahoy.es/,11/1/22,FALSE,news
Urban social disparities are being addressed by a new city access map,https://www.icavcluster.com/blog/2022/10/25/urban-social-disparities-are-being-addressed-by-a-new-city-access-map/,International Connected Autonomous Vehicle Cluster (ICAV),https://www.icavcluster.com/,10/1/22,FALSE,news
Map: Detroit Service Accessibility,https://detroitography.com/2022/10/24/map-detroit-service-accessibility/,DetroitGraphy,https://detroitography.com/,10/1/22,FALSE,news
Find and explore 15-minute cities,https://precaliga.com/find-and-explore-15-minute-cities/,Precaliga,https://precaliga.com/,10/1/22,FALSE,policy (institution)
Living Cities: Urban trees Ñ Safer streets for kids Ñ LondonÕs green jobs push,https://www.politico.eu/newsletter/global-policy-lab/living-cities-urban-trees-safer-streets-for-kids-londons-green-jobs-push/,POLITICO,https://www.politico.eu/,10/1/22,FALSE,policy (institution)
Building Smart Tools for Sustainable Cities: UNITAC Hamburg Projects,https://www.youtube.com/watch?v=4r3c9eGrw44,United Nations Innovation Technology Accelerator for Cities (UNITAC),https://unitac.un.org/,10/1/22,FALSE,policy (institution)
Interactive map shows inequality of facilities in Dutch cities,https://stadszaken.nl/artikel/4649/interactieve-kaart-toont-ongelijkheid-voorzieningen-in-nederlandse-steden,Stadzaken,https://stadszaken.nl/,10/1/22,FALSE,policy (institution)
Online map shows density of urban facilities,https://background.tagesspiegel.de/smart-city/online-karte-zeigt-dichte-staedtischer-einrichtungen,Tagesspiegel Background,https://background.tagesspiegel.de/,10/1/22,FALSE,policy (institution)
A new city access map aims to solve social differences in urban areas,https://innovationorigins.com/en/selected/a-new-city-access-map-aims-to-solve-social-differences-in-urban-areas/,Innovation Origins,https://innovationorigins.com/en/,10/1/22,FALSE,policy (institution)
CityAccessMap: Addressing urban inequalities with open-source data,https://www.tudelft.nl/en/2022/tu-delft/cityaccessmap-addressing-urban-inequalities-with-open-source-data,Delft University of Technology,https://www.tudelft.nl/en/,10/1/22,FALSE,policy (institution)
Bloomberg hires two data visualization reporters,https://talkingbiznews.com/business-media-news/bloomberg-hires-two-data-visualization-reporters/,Talking Biz News,https://talkingbiznews.com/,8/1/22,FALSE,policy (institution)
There is more to women than their ability to make more humans,https://calgaryherald.com/opinion/columnists/ford-news-flash-there-is-more-to-women-than-their-ability-to-make-more-humans,The Calgary Herald,https://calgaryherald.com/,5/1/22,FALSE,policy (institution)
The Moksha Roundup,https://mokshadata.studio/roundup/11/,Moksha Data Studio,https://mokshadata.studio/#home,4/1/22,FALSE,policy (institution)
The need to represent: How AI can help counter gender disparity in the news,https://blogs.lse.ac.uk/polis/2022/03/16/the-need-to-represent-how-ai-can-help-counter-gender-disparity-in-the-news/,London School of Economics (LSE),https://blogs.lse.ac.uk/polis/,3/1/22,FALSE,policy (institution)
How to Use Data and AI to Analyse Women's Representation in the News,https://www.youtube.com/watch?v=5QZugZbLoII&ab_channel=PolisLSE,PolisLSE,https://blogs.lse.ac.uk/polis/,3/1/22,FALSE,policy (institution)
Data Visualization Weekly,https://www.anychart.com/blog/2022/02/18/great-new-visual-data-stories/,AnyChart,https://www.anychart.com/,2/1/22,FALSE,policy (institution)
"Data Journalism Top 10: Misrepresenting Women, Bubble Tea, and IndiaÕs Nightingale",https://gijn.org/2022/02/11/data-journalism-top-10-women-making-headlines-vaccine-gaps-india-singer-history/,Global Investigative Journalism Network (GIJN),https://gijn.org/,2/1/22,FALSE,policy (institution)
Gen.T: Data Science and Urban Development With Leonardo Nicoletti #21,https://gent.firstory.io/episodes/ckunrzkseft5r08385d6o0rja,Gen.T: A Spotlight For Bright Young People,https://gent.firstory.io/,10/1/21,FALSE,policy (public)
How to bring about affordable housing and the inclusive city?,https://us2.campaign-archive.com/?id=3af0a4f38d&u=6df3797d47b4462d9bec9ca11,International Federation for Housing and Planning (IFHP),https://www.ifhp.org/,8/1/20,FALSE,policy (public)
Cities like Vancouver need to do more to protect their trees,https://www.theglobeandmail.com/canada/british-columbia/article-cities-like-vancouver-need-to-do-more-to-protect-their-trees/,The Globe and Mail,https://www.theglobeandmail.com/,10/1/19,FALSE,policy (public)
"High-density neighbourhoods leave room for trees, says Metro Vancouver",https://www.cbc.ca/news/canada/british-columbia/tree-canopy-metro-vancouver-dense-neighbourhoods-have-more-trees-1.5291636,Canadian Broadcasting Corporation (CBC),https://www.cbc.ca/,9/1/19,FALSE,policy (public)
"Paving paradise: Low-density housing linked to tree loss, rise in impervious surfaces in Metro Vancouver",https://www.straight.com/news/1303071/paving-paradise-low-density-housing-linked-tree-loss-rise-impervious-surfaces-metro,The Georgia Straight,https://www.straight.com/,9/1/19,FALSE,policy (public)
Top Websites for Urban Planning - 2022,https://www.planetizen.com/features/120158-top-websites-urban-planning-2022?amp,Planetizen,https://www.planetizen.com/,12/1/22,FALSE,policy (public)
ÀEs Pamplona una ciudad de 15 minutos?,https://amp.diariodenavarra.es/noticias/navarra/pamplona-comarca/2022/12/04/pamplona-ciudad-15-minutos-545430-1002.html,,https://www.diariodenavarra.es/,12/1/22,FALSE,policy (public)
EditorÕs Pick: Top 10 Data Journalism Projects from 2022,https://gijn.org/2022/12/09/editors-pick-top-10-data-journalism-projects-from-2022/,Global Investigative Journalism Network (GIJN),https://gijn.org/,12/1/22,FALSE,policy (public)
How Fentanyl Brought on the Opioid Crisis's Deadliest Phase,https://www.youtube.com/watch?v=u3F928a9jdE,Bloomberg Quicktake,https://www.bloomberg.com/Quicktake,12/2/22,"<iframe width=""100%"" height=""200"" src=""https://www.youtube.com/embed/u3F928a9jdE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",policy (public)
The best data journalism stories of 2022,https://datajournalism.com/read/blog/best-data-journalism-projects-2022,DataJournalism.com,https://datajournalism.com/,12/1/22,FALSE,policy (public)
Fentanyl Deaths Are Overwhelming Cities,https://omny.fm/shows/the-big-take/fentanyl-deaths-are-overwhelming-cities,The Big Take,https://www.bloomberg.com/bigtake,12/1/22,"<iframe src=""https://omny.fm/shows/the-big-take/fentanyl-deaths-are-overwhelming-cities/embed?style=Cover"" width=""100%"" height=""200"" allow=""autoplay; clipboard-write"" frameborder=""0"" title=""Fentanyl Deaths Are Overwhelming Cities""></iframe>",policy (public)
"Data Vis Dispatch, March 7",https://blog.datawrapper.de/data-vis-dispatch-march-7-2023/,Datawrapper,https://www.datawrapper.de/,3/1/23,FALSE,policy (public)
Elon MuskÕs Private Jet Flew Enough in 2022 to Circle the Globe a Dozen Times,https://robbreport.com/motors/aviation/elon-musk-private-plane-1234813933/,Robb Report,https://robbreport.com/,3/1/23,FALSE,policy (public)
Calling Out the Racial and Gender Bias in Generative AI,https://www.bloomberg.com/news/videos/2023-06-09/calling-out-the-racial-and-gender-bias-in-generative-ai-video,Bloomberg TV,https://www.bloomberg.com/live/us,6/1/23,"<iframe src=""https://www.bloomberg.com/media-manifest/embed/iframe?id=36b0b571-5497-4ebd-9fb9-849ab7ec8e1e"" allowscriptaccess=""always"" frameborder=""0"" width=""100%"" height=""200""></iframe>",policy (public)
